"decimalLongitude","decimalLatitude"
-48.919998,-25.440001
-45.383611,-23.271111
-45.378889,-23.269444
-45.290278,-23.173056
-45.291389,-23.172222
-46.353611,-23.367222
-46.900833,-23.234444
-46.363333,-23.373056
-46.924444,-23.231944
-44.849167,-22.549444
-46.000278,-23.249444
-44.855278,-22.544722
-47.838056,-20.515278
-47.8625,-20.507778
-47.860556,-20.497222
-47.919722,-24.38
-43.830833,-22.649722
-43.839722,-22.652778
-44.054167,-22.582222
-44.059167,-22.581111
-46.471111,-23.646111
-55.7507,-26.2894
-55.7737,-26.2689
-55.7887,-26.2812
-55.7889,-26.2689
-48.918,-25.439
-54.356,-25.786
-54.11,-26.035
-54.144,-25.981
-54.307,-25.852
-54.441,-25.748
-54.108,-26.041
-54.12,-26.034
-54.438,-25.748
-54.115,-25.976
-54.113,-25.984
-54.303,-25.85
-54.113,-25.986
-54.106,-26.044
-54.442,-25.745
-54.359,-25.79
-54.303,-25.849
-54.4368,-25.7483
-54.361,-25.794
-54.36,-25.792
-54.462183,-25.628253
-55.310509,-22.280183
-55.31551,-22.34935
-47.62851,-23.435766
-54.026053,-27.209546
-54.043863,-27.238043
-55.009461,-27.047253
-53.924259,-27.137491
-55.5155361854864,-26.3473331272967
-55.8042314357268,-26.5203944827007
-54.666698,-25.633301
-56.916698,-25.6667
-55.450001,-27.01667
-54.766666,-26.616667
-54.799999,-26.683332
-45.166668,-22.6
-49.333332,-24.166666
-54.256221,-25.937071
-53.71667,-26.13333
-54.31929,-25.68029
-54.5,-26.98333
-55.759,-27.903
-55.67316,-28.05564
-54.16672,-25.6747
-53.85,-26.05
-59.37,-26.3
-54.65,-27.26667
-54.09165,-26.60888
-54.40852,-26.88448
-54.40583,-26.85576
-56.053,-27.37167
-55.01667,-26.8
-55.39,-27.453
-53.74358,-26.764684
-54.066877,-25.992598
