SampleID,Latitude,Longitude
1,-6.74,-35.14583
2,-6.74,-35.14583
3,-7.59083,-35.49083
4,-7.59083,-35.49083
5,-7.89167,-35.17667
6,-7.93694,-35.02643
7,-7.94,-34.87222
8,-8.00333,-35.02139
9,-8.02028,-34.98167
10,-8.05417,-34.88111
11,-8.25,-35.08333
12,-8.36639,-36.02667
13,-8.38278,-35.45278
14,-8.71028,-35.83361
15,-8.72139,-35.84361
16,-9,-35.87
17,-11.25,-37.41667
18,-12.72778,-41.31389
19,-12.728,-39.77958
20,-12.85715,-39.46568
21,-12.96017,-39.44903
22,-13.83333,-39.16667
23,-13.848,-39.284
24,-13.848,-39.284
25,-14.65,-39.15
26,-14.685,-39.162
27,-14.806,-39.039
28,-14.88335,-39.175
29,-15.17306,-39.13222
30,-15.20639,-39.16583
31,-15.249,-39.079
32,-15.249,-39.079
33,-15.249,-39.079
34,-15.895,-39.238
35,-15.895,-39.238
36,-18.19708,-43.33108
37,-18.87472,-40.81389
38,-19.25778,-43.51694
39,-19.37201,-43.61708
40,-19.64167,-42.55
41,-19.64167,-42.55
42,-19.64167,-42.55
43,-19.72722,-41.82139
44,-19.88694,-43.37218
45,-19.88694,-43.37218
46,-19.93333,-43.88333
47,-19.95,-40.53333
48,-19.95,-40.51667
49,-19.96667,-40.58333
50,-20.07111,-42.73944
51,-20.15833,-40.31444
52,-20.26667,-40.46667
53,-20.26667,-40.46667
54,-20.26667,-40.46667
55,-20.30306,-40.33389
56,-20.36667,-40.49167
57,-20.37222,-40.47206
58,-20.46667,-41.8
59,-20.49583,-43.6125
60,-20.52167,-41.13472
61,-20.59833,-41.18139
62,-20.6,-42.4
63,-20.75,-45.88333
64,-20.75,-45.88333
65,-20.775,-40.59167
66,-20.88365,-41.83
67,-20.89919,-44.83653
68,-20.94697,-41.90308
69,-21.0002,-43.99996
70,-21.09263,-42.11773
71,-21.26667,-44.61667
72,-21.3,-44.975
73,-21.35316,-42.21609
74,-21.46835,-41.91248
75,-21.48613,-41.85872
76,-21.55,-47.85
77,-21.5932,-44.57708
78,-21.59579,-44.56243
79,-21.89368,-46.75313
80,-22.02907,-42.62769
81,-22.04611,-42.68917
82,-22.04611,-42.68917
83,-22.29167,-47.66667
84,-22.36667,-47.46667
85,-22.42077,-52.31169
86,-22.42077,-52.31169
87,-22.43645,-44.62518
88,-22.45806,-43.00389
89,-22.46667,-42.65
90,-22.46667,-42.98333
91,-22.48364,-41.89796
92,-22.4859,-42.95902
93,-22.48685,-43.11278
94,-22.54389,-42.30694
95,-22.54389,-42.30694
96,-22.58333,-42.25528
97,-22.61389,-42.86667
98,-22.61944,-42.81389
99,-22.71667,-46.91667
100,-22.73542,-44.61678
101,-22.77222,-53.26694
102,-22.89583,-42.8625
103,-22.94056,-43.44111
104,-22.99232,-44.09793
105,-23.16667,-44.24167
106,-23.16667,-44.24167
107,-23.19861,-44.84
108,-23.33333,-48.45
109,-23.35,-44.83333
110,-23.375,-45.16667
111,-23.54583,-46.93472
112,-23.58139,-47.52444
113,-23.65,-47.01667
114,-23.69018,-46.9531
115,-23.7,-46.98333
116,-23.70833,-46.91667
117,-23.87917,-47.49625
118,-23.91361,-47.68861
119,-24.149,-55.432
120,-24.16139,-48.35083
121,-24.20057,-48.42607
122,-24.23333,-48.06667
123,-24.28333,-48.35
124,-24.53333,-47.25
125,-24.57278,-49.92639
126,-24.713,-55.438
127,-24.816,-54.467
128,-25.05139,-47.89667
129,-25.07527,-53.66635
130,-25.43333,-48.91667
131,-25.6713,-48.61194
132,-25.91667,-49.4
133,-26.20833,-50.20833
134,-26.26861,-48.53278
135,-26.4275,-51.31556
136,-26.459,-55.758
137,-27.10444,-54.97384
138,-27.13333,-52.71667
139,-27.16667,-53.91667
140,-27.71667,-48.53333
141,-27.73056,-48.80917
142,-27.73333,-48.8
143,-27.75,-52.99167
144,-27.83861,-48.59167
145,-28.31167,-52.18806
146,-28.33333,-52.16667
147,-29.16667,-50.08333
148,-29.36435,-49.76366
149,-29.41667,-50.375
150,-29.46667,-50.20833
151,-29.48333,-50.2
152,-29.65889,-50.21278
153,-29.66667,-53.71667
154,-29.66667,-53.71667
155,-29.79139,-53.84861
156,-30.23333,-51.03333
157,-31.8,-52.41667
158,-32.11667,-52.15
159,-32.15,-52.18333
160,-6.74,-35.14583
161,-19.83333,-42.46667
162,-15.3975,-39.55222
163,-22.65512,-42.81526
164,-23.13672,-44.18793
165,-23.1427,-44.18899
166,-23.15148,-44.18902
167,-23.16355,-44.1889
168,-23.1727,-44.18836
169,-23.13592,-44.1792
170,-23.14559,-44.17958
171,-23.15401,-44.17797
172,-23.1671,-44.18096
173,-23.17333,-44.17946
